NullAccountDoNotUse|null|null|null|password|null|null|admin|1|0|0|
cTeich|Chase|Teichmann|903-202-533|testing|cteichmann@ycp.edu|(235)-256-2783|user|2|141.71|175.75
sKiser|Sam|Kiser|903-208-104|testing|skiser@ycp.edu|845-181-2578|user|3|13.25|22.0
jMyer|Johnathan|Myer|903-487-403|Bb5CxE6d|jmyer@ycp.edu|(156)-724-0785|user|4|132.64|75
dHake|Don|Hake|903-780-138|S9bwmugv|dhake@ycp.edu|(163)-751-1701|user|5|73.42|105
BSoto|Bryan|Soto|903-934-125|NZg79wmj|bsoto@ycp.edu|(716)-404-4899|user|6|59.45|148
Pnorris|Phillip|Morris|903-153-783|bqbjYzEr|pmorris@ycp.edu|(876)-351-8660|user|7|98.12|0
tWalker|Todd|Walker|903-983-480|xrH5g3vv|twalker@ycp.edu|(546)-500-1788|user|8|34.64|91
sTillman|Sarah|Tillman|903-132-794|M7LQPvA5|stillman@ycp.edu|(899)-441-8790|user|9|28.93|51
fMartin|Fynn|Martin|903-106-482|SmHexMcp|fmartin@ycp.edu|(204)-879-0065|user|10|5.22|17
hThomas|Heather|Thomas|903-643-863|dKb7uSux|hthomas@ycp.edu|(840)-135-8964|user|11|0|29
Iclarks|Ian|Clarks|903-745-450|EGc2C9aU|iclarks@ycp.edu|(167)-375-4851|user|12|102.83|33
jBrooks|Julia|Brooks|903-432-053|6WRFmaSa|jbrooks@ycp.edu|(703)-413-8670|user|13|22.42|116
gFielder|Gabby|Fielder|903-489-545|8R8GXbRE|gfielder@ycp.edu|(128)-145-7423|user|14|176.39|70
admin|TEST|null|null|password|null|null|admin|15|0|0|
